trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,route_id,shape_id,direction_id,stop_name,stop_lat,stop_lon,distance_to_next_stop,travel_time_to_next_stop
1254-10101-23400-2-b26610d4,1900-01-01 06:30:00,1900-01-01 06:30:00,8000-7386a836,1,UNIVERSITIES,0,0,0.0,0,101-202,1254-10101-1b671b9e,0,Coyle Park,-36.85267,174.70428,0.2329232646511432,0.45
1254-10101-23400-2-b26610d4,1900-01-01 06:30:27,1900-01-01 06:30:27,8002-ce800e63,2,UNIVERSITIES,0,0,0.232,0,101-202,1254-10101-1b671b9e,0,Johnstone Street,-36.85467,174.70415,0.26241715660238624,0.5166666666666667
1254-10101-23400-2-b26610d4,1900-01-01 06:30:58,1900-01-01 06:30:58,8004-66851f82,3,UNIVERSITIES,0,0,0.492,0,101-202,1254-10101-1b671b9e,0,Oliver Street,-36.85682,174.70343,0.30284220861153593,0.6
1254-10101-23400-2-b26610d4,1900-01-01 06:31:34,1900-01-01 06:31:34,8006-154bc233,4,UNIVERSITIES,0,0,0.796,0,101-202,1254-10101-1b671b9e,0,Dignan Steeet,-36.85936,174.7025,0.23466649062456324,0.45
1254-10101-23400-2-b26610d4,1900-01-01 06:32:01,1900-01-01 06:32:01,8008-6aee982b,5,UNIVERSITIES,0,0,1.031,0,101-202,1254-10101-1b671b9e,0,Point Chevalier School,-36.8611,174.70331,0.1961892037331304,0.38333333333333336
1254-10101-23400-2-b26610d4,1900-01-01 06:32:24,1900-01-01 06:32:24,8010-6b74c8ff,6,UNIVERSITIES,0,0,1.228,0,101-202,1254-10101-1b671b9e,0,Target Street,-36.86252,174.70439,0.5217634379635622,1.0166666666666666
1254-10101-23400-2-b26610d4,1900-01-01 06:33:25,1900-01-01 06:33:25,1049-ef8b69e4,7,UNIVERSITIES,0,0,1.749,0,101-202,1254-10101-1b671b9e,0,Moa Road,-36.86212,174.70865,0.6606920077868481,1.3
1254-10101-23400-2-b26610d4,1900-01-01 06:34:43,1900-01-01 06:34:43,1051-3ab326d8,8,UNIVERSITIES,0,0,2.41,0,101-202,1254-10101-1b671b9e,0,Meola Road/MOTAT,-36.85908,174.71486,0.7718424242302194,1.5166666666666666
1254-10101-23400-2-b26610d4,1900-01-01 06:36:14,1900-01-01 06:36:14,8491-4c2b3c12,9,UNIVERSITIES,0,0,3.177,0,101-202,1254-10101-1b671b9e,0,Westmere Shops,-36.85452,174.71868,0.33979447441575544,0.6666666666666666
1254-10101-23400-2-b26610d4,1900-01-01 06:36:54,1900-01-01 06:36:54,8493-d8c9215b,10,UNIVERSITIES,0,0,3.515,0,101-202,1254-10101-1b671b9e,0,Kotare Avenue,-36.85232,174.71981,0.34915462582004425,0.48333333333333334
1254-10101-23400-2-b26610d4,1900-01-01 06:37:23,1900-01-01 06:37:23,8495-d8b98d40,11,UNIVERSITIES,0,0,3.865,0,101-202,1254-10101-1b671b9e,0,Cox's Bay Reserve,-36.85154,174.72348,0.5098055369900474,1.1833333333333333
1254-10101-23400-2-b26610d4,1900-01-01 06:38:34,1900-01-01 06:38:34,8497-30667212,12,UNIVERSITIES,0,0,4.373,0,101-202,1254-10101-1b671b9e,0,Jervois Road,-36.84968,174.7284,0.523320453397084,1.0166666666666666
1254-10101-23400-2-b26610d4,1900-01-01 06:39:35,1900-01-01 06:39:35,7124-8993255e,13,UNIVERSITIES,0,0,4.893,0,101-202,1254-10101-1b671b9e,0,Masons Avenue,-36.84822,174.72882,0.34210754272451377,0.6666666666666666
1254-10101-23400-2-b26610d4,1900-01-01 06:40:15,1900-01-01 06:40:15,7121-c9212dc1,14,UNIVERSITIES,0,0,5.237,0,101-202,1254-10101-1b671b9e,0,Bayfield School,-36.84737,174.73192,0.36025365018836963,0.7166666666666667
1254-10101-23400-2-b26610d4,1900-01-01 06:40:58,1900-01-01 06:40:58,7119-5fc299b0,15,UNIVERSITIES,0,0,5.598,0,101-202,1254-10101-1b671b9e,0,Lawrence Street,-36.84541,174.73484,0.27397316869841465,0.5333333333333333
1254-10101-23400-2-b26610d4,1900-01-01 06:41:30,1900-01-01 06:41:30,7117-e91d6511,16,UNIVERSITIES,0,0,5.871,0,101-202,1254-10101-1b671b9e,0,John Street,-36.84514,174.73773,0.2869141795361211,0.5666666666666667
1254-10101-23400-2-b26610d4,1900-01-01 06:42:04,1900-01-01 06:42:04,7115-63c0ed0a,17,UNIVERSITIES,0,0,6.158,0,101-202,1254-10101-1b671b9e,0,St Stephen's Church,-36.84516,174.74076,0.35406725259195737,0.6833333333333333
1254-10101-23400-2-b26610d4,1900-01-01 06:42:45,1900-01-01 06:42:45,7113-084b368e,18,UNIVERSITIES,0,0,6.512,0,101-202,1254-10101-1b671b9e,0,Three Lamps,-36.84699,174.7438,0.38413016453966825,0.75
1254-10101-23400-2-b26610d4,1900-01-01 06:43:30,1900-01-01 06:43:30,7111-398e6ec5,19,UNIVERSITIES,0,0,6.895,0,101-202,1254-10101-1b671b9e,0,Mercy Hospice,-36.84812,174.74748,0.255260599735465,0.5
1254-10101-23400-2-b26610d4,1900-01-01 06:44:00,1900-01-01 06:44:00,7109-13c2b0c9,20,UNIVERSITIES,0,0,7.149,0,101-202,1254-10101-1b671b9e,0,Gudgeon Street,-36.84823,174.75,0.3795021456206459,2.6333333333333333
1254-10101-23400-2-b26610d4,1900-01-01 06:46:38,1900-01-01 06:46:38,7107-14d27628,21,UNIVERSITIES,0,0,7.528,0,101-202,1254-10101-1b671b9e,0,Victoria Park Market,-36.84803,174.75405,0.35099196949629896,2.45
1254-10101-23400-2-b26610d4,1900-01-01 06:49:05,1900-01-01 06:49:05,1079-d80fd2d6,22,UNIVERSITIES,0,0,7.879,0,101-202,1254-10101-1b671b9e,0,Sale Street,-36.84877,174.75733,0.28332958167328526,1.9666666666666666
1254-10101-23400-2-b26610d4,1900-01-01 06:51:03,1900-01-01 06:51:03,1089-d1686dd6,23,UNIVERSITIES,0,0,8.162,0,101-202,1254-10101-1b671b9e,0,International Convention Centre,-36.84964,174.76023,0.4462054655410451,3.1
1254-10101-23400-2-b26610d4,1900-01-01 06:54:09,1900-01-01 06:54:09,1094-2f276785,24,UNIVERSITIES,0,0,8.607,0,101-202,1254-10101-1b671b9e,0,Lorne Street,-36.85092,174.76487,0.26515305453979815,1.85
1254-10101-23400-2-b26610d4,1900-01-01 06:56:00,1900-01-01 06:56:00,7088-d255c2d6,25,UNIVERSITIES,0,0,8.87,0,101-202,1254-10101-1b671b9e,0,Auckland Art Gallery,-36.85236,174.767,0.33923234923271955,2.35
1254-10101-23400-2-b26610d4,1900-01-01 06:58:21,1900-01-01 06:58:21,7023-2daf6ff1,26,UNIVERSITIES,0,0,9.21,0,101-202,1254-10101-1b671b9e,0,University General Library,-36.85163,174.76958,0.23722312817717064,1.65
1254-10101-23400-2-b26610d4,1900-01-01 07:00:00,1900-01-01 07:00:00,1096-83f5e701,27,UNIVERSITIES,1,0,9.446,0,101-202,1254-10101-1b671b9e,0,University of Auckland,-36.85324,174.77074,,
1255-10501-20700-2-e03437fa,1900-01-01 05:45:00,1900-01-01 05:45:00,8496-67820052,1,BRITOMART,0,0,0.0,0,105-202,1255-10501-f6eb24e2,0,Cox's Bay Reserve,-36.85176,174.72277,0.31214332052883387,0.55
1255-10501-20700-2-e03437fa,1900-01-01 05:45:33,1900-01-01 05:45:33,8494-7cdbf182,2,BRITOMART,0,0,0.313,0,105-202,1255-10501-f6eb24e2,0,Kotare Avenue,-36.85255,174.71963,0.29619832521044254,0.55
1255-10501-20700-2-e03437fa,1900-01-01 05:46:06,1900-01-01 05:46:06,8492-cc3f118d,3,BRITOMART,0,0,0.609,0,105-202,1255-10501-f6eb24e2,0,Westmere Shops,-36.85434,174.71867,0.40209592757232554,0.7333333333333333
1255-10501-20700-2-e03437fa,1900-01-01 05:46:50,1900-01-01 05:46:50,8490-97f86170,4,BRITOMART,0,0,1.009,0,105-202,1255-10501-f6eb24e2,0,Dorset Street,-36.85687,174.72156,0.3309071963540719,0.6166666666666667
1255-10501-20700-2-e03437fa,1900-01-01 05:47:27,1900-01-01 05:47:27,8488-4a1e723e,5,BRITOMART,0,0,1.34,0,105-202,1255-10501-f6eb24e2,0,Westmere School,-36.85918,174.72365,0.2395456523156739,0.43333333333333335
1255-10501-20700-2-e03437fa,1900-01-01 05:47:53,1900-01-01 05:47:53,8486-e6856550,6,BRITOMART,0,0,1.579,0,105-202,1255-10501-f6eb24e2,0,Garnet Road/Old Mill Road,-36.86104,174.72469,0.2443272457993976,0.45
1255-10501-20700-2-e03437fa,1900-01-01 05:48:20,1900-01-01 05:48:20,8045-eaf533ba,7,BRITOMART,0,0,1.823,0,105-202,1255-10501-f6eb24e2,0,Francis Street,-36.86232,174.72652,0.3842855381275541,0.7
1255-10501-20700-2-e03437fa,1900-01-01 05:49:02,1900-01-01 05:49:02,8482-b766e95f,8,BRITOMART,0,0,2.21,0,105-202,1255-10501-f6eb24e2,0,Surrey Crescent/Old Mill Road,-36.86326,174.7303,0.25882341238792045,0.48333333333333334
1255-10501-20700-2-e03437fa,1900-01-01 05:49:31,1900-01-01 05:49:31,8899-dca239d7,9,BRITOMART,0,0,2.468,0,105-202,1255-10501-f6eb24e2,0,Richmond Road,-36.86211,174.73267,0.4992559243268621,0.9166666666666666
1255-10501-20700-2-e03437fa,1900-01-01 05:50:26,1900-01-01 05:50:26,8087-d890a72a,10,BRITOMART,0,0,2.967,0,105-202,1255-10501-f6eb24e2,0,West Lynn Shops,-36.85884,174.73083,0.38731406443799027,0.7166666666666667
1255-10501-20700-2-e03437fa,1900-01-01 05:51:09,1900-01-01 05:51:09,8085-b8efc4cd,11,BRITOMART,0,0,3.353,0,105-202,1255-10501-f6eb24e2,0,Peel Street,-36.85565,174.72991,0.22457474323320886,0.4
1255-10501-20700-2-e03437fa,1900-01-01 05:51:33,1900-01-01 05:51:33,8083-ac0dc653,12,BRITOMART,0,0,3.576,0,105-202,1255-10501-f6eb24e2,0,Woolworths Grey Lynn,-36.85455,174.73177,0.46490284415165606,0.85
1255-10501-20700-2-e03437fa,1900-01-01 05:52:24,1900-01-01 05:52:24,8081-56810081,13,BRITOMART,0,0,4.04,0,105-202,1255-10501-f6eb24e2,0,St Paul's College,-36.85432,174.73641,0.28829235211114096,0.5333333333333333
1255-10501-20700-2-e03437fa,1900-01-01 05:52:56,1900-01-01 05:52:56,8079-dcc5dce7,14,BRITOMART,0,0,4.329,0,105-202,1255-10501-f6eb24e2,0,Richmond Road Shops,-36.85516,174.73909,0.26241689108126504,0.48333333333333334
1255-10501-20700-2-e03437fa,1900-01-01 05:53:25,1900-01-01 05:53:25,8077-6d09636a,15,BRITOMART,0,0,4.59,0,105-202,1255-10501-f6eb24e2,0,Richmond Road School,-36.85693,174.74052,0.338281123008871,0.6166666666666667
1255-10501-20700-2-e03437fa,1900-01-01 05:54:02,1900-01-01 05:54:02,8075-ec7774a9,16,BRITOMART,0,0,4.928,0,105-202,1255-10501-f6eb24e2,0,Fitzroy Street,-36.85694,174.74404,0.3167296676260838,0.5833333333333334
1255-10501-20700-2-e03437fa,1900-01-01 05:54:37,1900-01-01 05:54:37,7215-cb3a712c,17,BRITOMART,0,0,5.247,0,105-202,1255-10501-f6eb24e2,0,Ponsonby Road/Picton Street,-36.85659,174.74717,0.20893539593581437,0.38333333333333336
1255-10501-20700-2-e03437fa,1900-01-01 05:55:00,1900-01-01 05:55:00,7213-c1b68c83,18,BRITOMART,0,0,5.456,0,105-202,1255-10501-f6eb24e2,0,Ponsonby Road/Western Park,-36.85757,174.74896,0.35462026038886085,1.5
