service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Daily-1,1,1,1,1,1,1,1,20240724,20241020
ExSat-1,1,1,1,1,1,0,1,20240724,20241020
ExSun-1,1,1,1,1,1,1,0,20240724,20241020
ExTue-1,1,0,1,1,1,1,1,20240724,20241020
FriSat-1,0,0,0,0,1,1,0,20240724,20241020
FriSatSun-1,0,0,0,0,1,1,1,20240724,20241020
Friday-1,0,0,0,0,1,0,0,20240724,20241020
Friday-2,0,0,0,0,1,0,0,20240724,20241020
Friday-3,0,0,0,0,1,0,0,20240724,20241020
Friday-4,0,0,0,0,1,0,0,20240724,20241020
Friday-5,0,0,0,0,1,0,0,20240724,20241020
Friday-6,0,0,0,0,1,0,0,20240724,20241020
Friday-7,0,0,0,0,1,0,0,20240724,20241020
Friday-8,0,0,0,0,1,0,0,20240724,20241020
Friday-9,0,0,0,0,1,0,0,20240724,20241020
Other-1,0,0,0,0,0,0,0,20240724,20241020
Other-10,0,0,0,0,0,0,0,20240724,20241020
Other-11,0,0,0,0,0,0,0,20240724,20241020
Other-12,0,0,0,0,0,0,0,20240724,20241020
Other-13,0,0,0,0,0,0,0,20240724,20241020
Other-14,0,0,0,0,0,0,0,20240724,20241020
Other-15,0,0,0,0,0,0,0,20240724,20240803
Other-16,0,0,0,0,0,0,0,20240724,20240803
Other-17,0,0,0,0,0,0,0,20240724,20240803
Other-18,0,0,0,0,0,0,0,20240724,20241020
Other-19,0,0,0,0,0,0,0,20240724,20241020
Other-2,0,0,0,0,0,0,0,20240724,20241020
Other-20,0,0,0,0,0,0,0,20240724,20241020
Other-21,0,0,0,0,0,0,0,20240724,20240803
Other-22,0,0,0,0,0,0,0,20240724,20241020
Other-23,0,0,0,0,0,0,0,20240724,20241020
Other-24,0,0,0,0,0,0,0,20240724,20241020
Other-25,0,0,0,0,0,0,0,20240724,20241020
Other-26,0,0,0,0,0,0,0,20240724,20241020
Other-27,0,0,0,0,0,0,0,20240724,20241020
Other-28,0,0,0,0,0,0,0,20240724,20241020
Other-29,0,0,0,0,0,0,0,20240724,20241020
Other-3,0,0,0,0,0,0,0,20240724,20241020
Other-30,0,0,0,0,0,0,0,20240724,20241020
Other-31,0,0,0,0,0,0,0,20240724,20241020
Other-32,0,0,0,0,0,0,0,20240724,20241020
Other-33,0,0,0,0,0,0,0,20240804,20241020
Other-34,0,0,0,0,0,0,0,20240804,20241020
Other-35,0,0,0,0,0,0,0,20240804,20241020
Other-4,0,0,0,0,0,0,0,20240724,20241020
Other-5,0,0,0,0,0,0,0,20240724,20241020
Other-6,0,0,0,0,0,0,0,20240724,20241020
Other-7,0,0,0,0,0,0,0,20240724,20241020
Other-8,0,0,0,0,0,0,0,20240724,20241020
Other-9,0,0,0,0,0,0,0,20240724,20241020
Saturday-1,0,0,0,0,0,1,0,20240724,20241020
Saturday-2,0,0,0,0,0,1,0,20240724,20241020
Saturday-3,0,0,0,0,0,1,0,20240724,20241020
Saturday-4,0,0,0,0,0,1,0,20240724,20241020
Sunday-1,0,0,0,0,0,0,1,20240724,20241020
Sunday-2,0,0,0,0,0,0,1,20240724,20241020
Sunday-3,0,0,0,0,0,0,1,20240724,20241020
Sunday-4,0,0,0,0,0,0,1,20240724,20241020
Thursday-1,0,0,0,1,0,0,0,20240724,20241020
Thursday-2,0,0,0,1,0,0,0,20240724,20241020
Tuesday-1,0,1,0,0,0,0,0,20240724,20241020
Wednesday-1,0,0,1,0,0,0,0,20240724,20241020
Wednesday-2,0,0,1,0,0,0,0,20240724,20241020
Weekday-1,1,1,1,1,1,0,0,20240724,20241020
Weekday-10,1,1,1,1,1,0,0,20240724,20240803
Weekday-11,1,1,1,1,1,0,0,20240724,20241020
Weekday-12,1,1,1,1,1,0,0,20240724,20240803
Weekday-13,1,1,1,1,1,0,0,20240724,20241020
Weekday-14,1,1,1,1,1,0,0,20240724,20241020
Weekday-15,1,1,1,1,1,0,0,20240724,20241020
Weekday-16,1,1,1,1,1,0,0,20240724,20241020
Weekday-17,1,1,1,1,1,0,0,20240724,20241020
Weekday-18,1,1,1,1,1,0,0,20240724,20241020
Weekday-2,1,1,1,1,1,0,0,20240724,20241020
Weekday-3,1,1,1,1,1,0,0,20240724,20241020
Weekday-4,1,1,1,1,1,0,0,20240724,20241020
Weekday-5,1,1,1,1,1,0,0,20240724,20241020
Weekday-6,1,1,1,1,1,0,0,20240724,20241020
Weekday-7,1,1,1,1,1,0,0,20240724,20240803
Weekday-8,1,1,1,1,1,0,0,20240724,20241020
Weekday-9,1,1,1,1,1,0,0,20240724,20241020
Weekend-1,0,0,0,0,0,1,1,20240724,20241020
Weekend-2,0,0,0,0,0,1,1,20240724,20241020
Weekend-3,0,0,0,0,0,1,1,20240724,20241020
Weekend-4,0,0,0,0,0,1,1,20240724,20241020
WkExFri-1,1,1,1,1,0,0,0,20240724,20241020
WkExFri-2,1,1,1,1,0,0,0,20240724,20240803
WkExFri-3,1,1,1,1,0,0,0,20240724,20241020
WkExFri-4,1,1,1,1,0,0,0,20240724,20240803
WkExFri-5,1,1,1,1,0,0,0,20240724,20241020
