service_id,date,exception_type
Friday-2,20240802,2
Friday-2,20240906,2
Friday-2,20241004,2
Friday-3,20240726,2
Friday-3,20240802,2
Friday-3,20240809,2
Friday-3,20240906,2
Friday-3,20240913,2
Friday-4,20240916,1
Friday-4,20240917,1
Friday-4,20240918,1
Friday-4,20240919,1
Friday-4,20240923,1
Friday-4,20240924,1
Friday-4,20240925,1
Friday-4,20240926,1
Friday-4,20240930,1
Friday-4,20241001,1
Friday-4,20241002,1
Friday-4,20241003,1
Friday-4,20241007,1
Friday-4,20241008,1
Friday-4,20241009,1
Friday-4,20241010,1
Friday-4,20241014,1
Friday-4,20241015,1
Friday-4,20241016,1
Friday-4,20241017,1
Friday-4,20240726,2
Friday-4,20240802,2
Friday-4,20240809,2
Friday-4,20240906,2
Friday-4,20240913,2
Friday-5,20240916,1
Friday-5,20240917,1
Friday-5,20240918,1
Friday-5,20240919,1
Friday-5,20240923,1
Friday-5,20240924,1
Friday-5,20240925,1
Friday-5,20240926,1
Friday-5,20240930,1
Friday-5,20241001,1
Friday-5,20241002,1
Friday-5,20241003,1
Friday-5,20241007,1
Friday-5,20241008,1
Friday-5,20241009,1
Friday-5,20241010,1
Friday-5,20241014,1
Friday-5,20241015,1
Friday-5,20241016,1
Friday-5,20241017,1
Friday-5,20240726,2
Friday-5,20240802,2
Friday-5,20240906,2
Friday-5,20240913,2
Friday-6,20240802,2
Friday-6,20240809,2
Friday-7,20240802,2
Friday-7,20240809,2
Friday-7,20240906,2
Friday-7,20240913,2
Friday-8,20240916,1
Friday-8,20240917,1
Friday-8,20240918,1
Friday-8,20240919,1
Friday-8,20240923,1
Friday-8,20240924,1
Friday-8,20240925,1
Friday-8,20240926,1
Friday-8,20240930,1
Friday-8,20241001,1
Friday-8,20241002,1
Friday-8,20241003,1
Friday-8,20241007,1
Friday-8,20241008,1
Friday-8,20241009,1
Friday-8,20241010,1
Friday-8,20241014,1
Friday-8,20241015,1
Friday-8,20241016,1
Friday-8,20241017,1
Friday-8,20240802,2
Friday-8,20240809,2
Friday-8,20240906,2
Friday-8,20240913,2
Friday-9,20240916,1
Friday-9,20240917,1
Friday-9,20240918,1
Friday-9,20240919,1
Friday-9,20240923,1
Friday-9,20240924,1
Friday-9,20240925,1
Friday-9,20240926,1
Friday-9,20240930,1
Friday-9,20241001,1
Friday-9,20241002,1
Friday-9,20241003,1
Friday-9,20241007,1
Friday-9,20241008,1
Friday-9,20241009,1
Friday-9,20241010,1
Friday-9,20241014,1
Friday-9,20241015,1
Friday-9,20241016,1
Friday-9,20241017,1
Friday-9,20240802,2
Friday-9,20240906,2
Friday-9,20240913,2
Other-1,20240916,1
Other-1,20240917,1
Other-1,20240918,1
Other-1,20240919,1
Other-1,20240920,1
Other-1,20240923,1
Other-1,20240924,1
Other-1,20240925,1
Other-1,20240926,1
Other-1,20240927,1
Other-1,20240930,1
Other-1,20241001,1
Other-1,20241002,1
Other-1,20241003,1
Other-1,20241004,1
Other-1,20241007,1
Other-1,20241008,1
Other-1,20241009,1
Other-1,20241010,1
Other-1,20241011,1
Other-1,20241014,1
Other-1,20241015,1
Other-1,20241016,1
Other-1,20241017,1
Other-1,20241018,1
Other-10,20240728,1
Other-10,20240802,1
Other-10,20240809,1
Other-11,20240817,1
Other-12,20240727,1
Other-12,20240728,1
Other-12,20240803,1
Other-12,20240804,1
Other-12,20240810,1
Other-12,20240811,1
Other-13,20240930,1
Other-13,20241001,1
Other-13,20241002,1
Other-13,20241003,1
Other-13,20241004,1
Other-13,20241007,1
Other-13,20241008,1
Other-13,20241009,1
Other-13,20241010,1
Other-13,20241011,1
Other-14,20240802,1
Other-14,20240906,1
Other-14,20241004,1
Other-15,20240724,1
Other-15,20240725,1
Other-16,20240724,1
Other-16,20240725,1
Other-16,20240726,1
Other-17,20240726,1
Other-18,20240915,1
Other-18,20240922,1
Other-18,20240929,1
Other-18,20241006,1
Other-18,20241013,1
Other-18,20241020,1
Other-19,20240802,1
Other-19,20240809,1
Other-19,20240906,1
Other-19,20240913,1
Other-2,20240727,1
Other-2,20240728,1
Other-20,20240818,1
Other-20,20240901,1
Other-21,20240802,1
Other-22,20240728,1
Other-22,20240824,1
Other-22,20240825,1
Other-23,20240728,1
Other-23,20240825,1
Other-24,20240727,1
Other-24,20240728,1
Other-24,20240825,1
Other-25,20240805,1
Other-25,20240806,1
Other-25,20240807,1
Other-25,20240808,1
Other-25,20240812,1
Other-25,20240813,1
Other-25,20240814,1
Other-25,20240815,1
Other-25,20240819,1
Other-25,20240820,1
Other-25,20240821,1
Other-25,20240822,1
Other-25,20240826,1
Other-25,20240827,1
Other-25,20240828,1
Other-25,20240829,1
Other-25,20240902,1
Other-25,20240903,1
Other-25,20240904,1
Other-25,20240905,1
Other-25,20240906,1
Other-25,20240909,1
Other-25,20240910,1
Other-25,20240911,1
Other-25,20240912,1
Other-25,20240913,1
Other-26,20240727,1
Other-26,20240824,1
Other-27,20240916,1
Other-27,20240917,1
Other-27,20240918,1
Other-27,20240919,1
Other-27,20240923,1
Other-27,20240924,1
Other-27,20240925,1
Other-27,20240926,1
Other-27,20240930,1
Other-27,20241001,1
Other-27,20241002,1
Other-27,20241003,1
Other-27,20241007,1
Other-27,20241008,1
Other-27,20241009,1
Other-27,20241010,1
Other-27,20241014,1
Other-27,20241015,1
Other-27,20241016,1
Other-27,20241017,1
Other-28,20240906,1
Other-28,20240913,1
Other-29,20240805,1
Other-29,20240806,1
Other-29,20240807,1
Other-29,20240808,1
Other-29,20240812,1
Other-29,20240813,1
Other-29,20240814,1
Other-29,20240815,1
Other-29,20240819,1
Other-29,20240820,1
Other-29,20240821,1
Other-29,20240822,1
Other-29,20240826,1
Other-29,20240827,1
Other-29,20240828,1
Other-29,20240829,1
Other-29,20240902,1
Other-29,20240903,1
Other-29,20240904,1
Other-29,20240905,1
Other-29,20240909,1
Other-29,20240910,1
Other-29,20240911,1
Other-29,20240912,1
Other-3,20240727,1
Other-30,20240809,1
Other-31,20240727,1
Other-31,20240728,1
Other-31,20240824,1
Other-31,20240825,1
Other-32,20240909,1
Other-32,20240910,1
Other-32,20240911,1
Other-32,20240912,1
Other-32,20240913,1
Other-32,20240916,1
Other-32,20240917,1
Other-32,20240918,1
Other-32,20240919,1
Other-32,20240920,1
Other-32,20240923,1
Other-32,20240924,1
Other-32,20240925,1
Other-32,20240926,1
Other-32,20240927,1
Other-32,20240930,1
Other-32,20241001,1
Other-32,20241002,1
Other-32,20241003,1
Other-32,20241004,1
Other-32,20241007,1
Other-32,20241008,1
Other-32,20241009,1
Other-32,20241010,1
Other-32,20241011,1
Other-32,20241014,1
Other-32,20241015,1
Other-32,20241016,1
Other-32,20241017,1
Other-32,20241018,1
Other-33,20240824,1
Other-34,20240825,1
Other-35,20240804,1
Other-35,20240908,1
Other-35,20241006,1
Other-4,20240724,1
Other-4,20240725,1
Other-4,20240729,1
Other-4,20240730,1
Other-4,20240731,1
Other-4,20240801,1
Other-4,20240802,1
Other-4,20240805,1
Other-4,20240806,1
Other-4,20240807,1
Other-4,20240808,1
Other-4,20240809,1
Other-4,20240812,1
Other-4,20240813,1
Other-4,20240814,1
Other-4,20240815,1
Other-5,20240802,1
Other-5,20240809,1
Other-6,20240724,1
Other-6,20240725,1
Other-6,20240729,1
Other-6,20240730,1
Other-6,20240731,1
Other-6,20240801,1
Other-6,20240805,1
Other-6,20240806,1
Other-6,20240807,1
Other-6,20240808,1
Other-6,20240812,1
Other-6,20240813,1
Other-6,20240814,1
Other-6,20240815,1
Other-7,20240803,1
Other-7,20240804,1
Other-7,20240810,1
Other-7,20240811,1
Other-8,20240728,1
Other-9,20240803,1
Other-9,20240810,1
Saturday-2,20240727,2
Saturday-2,20240803,2
Saturday-2,20240810,2
Saturday-2,20240824,2
Saturday-2,20240907,2
Saturday-3,20240727,2
Saturday-3,20240803,2
Saturday-3,20240810,2
Saturday-3,20240817,2
Saturday-3,20240824,2
Saturday-3,20240907,2
Saturday-4,20240803,2
Saturday-4,20240810,2
Saturday-4,20240907,2
Sunday-2,20240804,2
Sunday-2,20240908,2
Sunday-2,20241006,2
Sunday-3,20240728,2
Sunday-3,20240804,2
Sunday-3,20240811,2
Sunday-3,20240825,2
Sunday-3,20240908,2
Sunday-4,20240804,2
Sunday-4,20240811,2
Sunday-4,20240908,2
Thursday-2,20240726,1
Thursday-2,20240802,1
Thursday-2,20240809,1
Thursday-2,20240816,1
Thursday-2,20240823,1
Thursday-2,20240830,1
Thursday-2,20240906,1
Thursday-2,20240913,1
Thursday-2,20240920,1
Thursday-2,20240927,1
Thursday-2,20241004,1
Thursday-2,20241011,1
Thursday-2,20241018,1
Wednesday-1,20240802,1
Wednesday-1,20240816,1
Wednesday-1,20240906,1
Wednesday-1,20240920,1
Wednesday-1,20241004,1
Wednesday-1,20241018,1
Wednesday-2,20240816,1
Wednesday-2,20240920,1
Wednesday-2,20241018,1
Weekday-10,20240726,2
Weekday-11,20240724,2
Weekday-11,20240725,2
Weekday-11,20240726,2
Weekday-11,20240729,2
Weekday-11,20240730,2
Weekday-11,20240731,2
Weekday-11,20240801,2
Weekday-11,20240802,2
Weekday-11,20240809,2
Weekday-13,20240802,2
Weekday-13,20240809,2
Weekday-14,20240729,2
Weekday-14,20240730,2
Weekday-14,20240731,2
Weekday-14,20240801,2
Weekday-14,20240802,2
Weekday-15,20240726,2
Weekday-15,20240729,2
Weekday-15,20240730,2
Weekday-15,20240731,2
Weekday-15,20240801,2
Weekday-15,20240802,2
Weekday-16,20240724,2
Weekday-16,20240725,2
Weekday-16,20240729,2
Weekday-16,20240730,2
Weekday-16,20240731,2
Weekday-16,20240801,2
Weekday-16,20240802,2
Weekday-17,20240724,2
Weekday-17,20240725,2
Weekday-17,20240729,2
Weekday-17,20240730,2
Weekday-17,20240731,2
Weekday-17,20240801,2
Weekday-17,20240802,2
Weekday-17,20240906,2
Weekday-17,20240913,2
Weekday-18,20240729,2
Weekday-18,20240730,2
Weekday-18,20240731,2
Weekday-18,20240801,2
Weekday-18,20240802,2
Weekday-18,20240906,2
Weekday-18,20240913,2
Weekday-2,20240916,2
Weekday-2,20240917,2
Weekday-2,20240918,2
Weekday-2,20240919,2
Weekday-2,20240920,2
Weekday-2,20240923,2
Weekday-2,20240924,2
Weekday-2,20240925,2
Weekday-2,20240926,2
Weekday-2,20240927,2
Weekday-2,20240930,2
Weekday-2,20241001,2
Weekday-2,20241002,2
Weekday-2,20241003,2
Weekday-2,20241004,2
Weekday-2,20241007,2
Weekday-2,20241008,2
Weekday-2,20241009,2
Weekday-2,20241010,2
Weekday-2,20241011,2
Weekday-2,20241014,2
Weekday-2,20241015,2
Weekday-2,20241016,2
Weekday-2,20241017,2
Weekday-2,20241018,2
Weekday-3,20240930,2
Weekday-3,20241001,2
Weekday-3,20241002,2
Weekday-3,20241003,2
Weekday-3,20241004,2
Weekday-3,20241007,2
Weekday-3,20241008,2
Weekday-3,20241009,2
Weekday-3,20241010,2
