route_id,stop_id,stop_name,stop_sequence,stop_lat,stop_lon,travel_time_to_next_stop,distance_to_next_stop
101-202,1031-6ceef13a,University of Auckland,1,-36.85241,174.7705,1.5282608695652173,0.25982121843151396
101-202,7089-8ec85023,AUT City Campus,2,-36.8528,174.76716,1.6884057971014494,0.39120674540796097
101-202,1332-06829269,SkyCity Auckland,3,-36.85025,174.76189,1.0992753623188407,0.2886990264054515
101-202,1090-90cb0d20,Nelson Street,4,-36.84935,174.75892,1.281159420289855,0.2934106927866618
101-202,7106-026b649d,Victoria Park Market,5,-36.8482,174.7548,0.7855072463768116,0.19860422532930286
101-202,7108-87efa451,Franklin Road,6,-36.84815,174.7524,1.544927536231884,0.3645319444001767
101-202,7110-7e35124f,England Street,7,-36.84852,174.74854,1.3623188405797102,0.4227109891968583
101-202,7112-da37447d,Mercy Hospice,8,-36.84797,174.74667,1.7463768115942029,0.4487928542364238
101-202,7114-405833f5,Three Lamps,9,-36.84716,174.74378,1.272463768115942,0.29754391813526004
101-202,7116-1e599c9f,St Stephen's Church,10,-36.84535,174.74079,1.1384057971014492,0.32481381502792156
101-202,7118-5ebfd457,John Street,11,-36.84532,174.7373,1.2528985507246377,0.33186012216335614
101-202,7120-a5983b16,Lawrence Street,12,-36.84549,174.73545,1.6420289855072463,0.26058336196724524
101-202,7122-267425f2,Bayfield School,13,-36.8474,174.73214,1.2782608695652176,0.29999607888046187
101-202,7124-8993255e,Masons Avenue,14,-36.84822,174.72882,1.277536231884058,0.24873207167887113
101-202,8498-746ff209,Jervois Road,15,-36.84957,174.72882,1.7920289855072464,0.4176585120418574
101-202,8496-67820052,Cox's Bay Reserve,16,-36.85176,174.72277,0.7731884057971016,0.28074678184762386
101-202,8494-7cdbf182,Kotare Avenue,17,-36.85255,174.71963,0.8528985507246377,0.2801968596643324
101-202,8492-cc3f118d,Westmere Shops,18,-36.85434,174.71867,1.6594202898550723,0.5302581839983226
101-202,1054-6399d29c,Meola Road/MOTAT,19,-36.85965,174.71392,1.0615942028985508,0.38897468901643334
101-202,1056-1d112278,Moa Road,20,-36.86229,174.70845,2.4384057971014492,0.3671917964359276
101-202,8011-8aee8cfc,Target Street,21,-36.86255,174.70426,1.9833333333333334,0.26577882576076145
101-202,8009-66fc51a4,Point Chevalier School,22,-36.86082,174.70295,1.6630434782608696,0.24782014726202337
101-202,8007-31af4bce,Dignan Street,23,-36.85889,174.70255,2.4166666666666665,0.32874602923358703
101-202,8005-cd4b82b7,Oliver Street,24,-36.85707,174.70322,1.6666666666666667,0.2740191086297205
