route_id,stop_id,stop_name,stop_sequence,distance_to_next_stop,travel_time_to_next_stop
392-203,2850-3422d278,Pukekohe Station,1,0.5265184844700573,1.3666666666666667
392-203,2928-c49936fe,Pukekohe Library,2,0.3719966749329561,0.9
392-203,2888-e045a4e2,Countdown Pukekohe,3,0.15592466065541397,0.3
392-203,2832-70c5fb58,Reformed Church of Pukekohe,4,0.3367896405116836,0.6
392-203,2844-c5c06611,St Joseph's Catholic School,5,0.4257161978272061,0.75
392-203,2836-995003f2,Seddon Street/Paerata Road,6,0.20969448362476162,0.4666666666666667
392-203,2834-8e65768f,New World Pukekohe,7,0.3427466620721424,0.7666666666666667
392-203,2884-e351391d,Prado Drive,8,0.525201688573459,1.0666666666666667
392-203,2904-1af5358f,Holland Street,9,0.3809476518668795,0.8166666666666667
392-203,2901-ca8036e1,Frank Hewitt Street,10,0.43078116157905383,1.0
392-203,2895-613fc12b,Princes Street,11,0.8217355157673083,1.6
392-203,2871-bdcfea37,Tamaoho School,12,0.47389463321875275,1.8166666666666667
392-203,2877-7f23a927,Victoria St W/Jutland Road,13,0.6831393952690145,1.3333333333333333
392-203,2891-70c5fa94,Victoria Street,14,0.27044263030609356,0.5166666666666667
392-203,2907-d4e7c758,Wellington Street,15,0.3314217680159006,0.7
392-203,2909-007e61b2,Pukekohe Intermediate School,16,0.3645823799703328,0.8833333333333333
392-203,2929-7be58f7d,Pukekohe Library,17,0.5184773671698323,1.1166666666666667
392-203,2850-3422d278,Pukekohe Station,18,,
BIRK-240,9660-33a61833,Birkenhead Ferry Terminal,1,3.6837433010807983,20.0
BIRK-240,9701-8d24d4bc,Downtown Ferry Terminal Pier 1,2,,
33-203,1777-3e02a2cf,Stop B Otahuhu Station,1,0.7631150592926912,3.9166666666666665
33-203,7952-fe4f53b2,Otahuhu Library,2,0.25262211462460427,1.0833333333333333
33-203,1356-0146ace9,Stop B Otahuhu Town Centre,3,0.39272911323866705,1.05
33-203,7642-ea38834a,Fort Richard Road,4,0.8966578856847897,2.3666666666666667
33-203,6568-6336d243,Nelson Street,5,0.6203295242565353,1.5166666666666666
33-203,6004-025a4d0b,Laureston Avenue,6,0.3544970523852324,0.8833333333333333
33-203,6006-5118afff,Papatoetoe Intermediate,7,0.41426512343428207,1.0166666666666666
33-203,6956-f4f9f6c0,Kautami Avenue,8,0.2936448849796982,0.7166666666666667
33-203,6010-573898ce,Maxwell Avenue,9,0.1717866934856008,0.45
33-203,2282-98a569ca,Saint Johns Church,10,0.340900925281357,1.1833333333333333
33-203,6014-ad211380,Hunters Plaza,11,0.4120538894094939,1.4
33-203,6016-f5105b5d,Papatoetoe Central School,12,0.43088686743340354,1.4833333333333334
33-203,6018-6ec17b29,Birdwood Avenue,13,0.4274350926987726,1.4666666666666666
33-203,6020-e7ccacf4,Waenganui Allenby Park,14,0.462273400798601,1.5666666666666667
33-203,6022-e74fbfc4,Caspar Road Shops,15,0.6974872704887641,2.4
33-203,6748-a5da120c,AUT Manukau,16,0.5701570549718151,3.216666666666667
33-203,2188-83862626,Osterley Way,17,0.29699531694493325,1.2666666666666666
33-203,2127-d4ee58fe,Stop B Manukau Station,18,1.0321507271144237,4.716666666666667
33-203,2144-f41225ff,Events Centre,19,0.3954832979670714,1.2
33-203,6030-4ac478ba,Kerrs Road,20,0.6154104179323138,1.8166666666666667
33-203,6888-50de093b,Manukau SuperClinic,21,0.2894356024958112,0.8666666666666667
33-203,6032-f087a2c8,Orams Road/Manukau Superclinic,22,0.26608890398453416,0.8
33-203,6034-32537549,Great South Road/Grande Vue Road,23,0.3611520404164509,1.05
33-203,6036-5e3a267c,Halsey Road,24,0.4210189329879114,1.25
33-203,6038-926fe1f9,Kelvyn Grove,25,0.13938554752742002,0.5333333333333333
33-203,2290-f342b6c3,Maich Road,26,0.17735403619483678,0.7333333333333333
33-203,2473-358e0fc9,Station Road,27,0.23712335851619895,1.0166666666666666
33-203,6044-9da250d0,Stop B Manurewa Station,28,0.5252671723015266,2.5
33-203,6042-574a8217,Mcannalley Street,29,0.5219381902934628,1.9833333333333334
33-203,2416-8b918234,Kevale Place,30,0.18027534167058765,0.7166666666666667
33-203,2420-d618da7d,Great South Road/Te Mahia Station,31,0.2456221113885108,0.9666666666666667
33-203,6046-23479c49,Great South Road/Mahia Road,32,0.5529551740215377,2.1
33-203,2536-ad1d8fa6,Spartan Road,33,0.6325161436260163,2.3833333333333333
33-203,2534-5e0aaed5,Great South Road/Manuroa Road,34,0.47307504612308693,1.8333333333333333
33-203,2532-172b93df,Walter Strevens Drive,35,0.4148344484141444,1.6
33-203,2736-75d8c53c,Beach Road,36,0.29896096960184043,1.1333333333333333
33-203,2530-b352218f,Countdown Takanini,37,0.46400792117251843,1.7833333333333334
33-203,2528-ed32a7f6,Walters Road,38,0.46316462389149826,1.75
33-203,2526-cdd27e0c,Wellington Park,39,0.43736803241678024,1.6833333333333333
33-203,2524-54f3f4c9,Youngs Road,40,0.6054311652294178,2.4166666666666665
33-203,2522-d7d47f16,Papakura Anglican Church,41,0.35070567149291965,1.3333333333333333
33-203,2520-72ead39b,Papakura Shops,42,0.35671480984645254,1.8166666666666667
33-203,2716-29bbacfe,Papakura Station,43,,
650-202,7821-f47ec9af,Stop C Glen Innes Station,1,0.19406605938937876,0.55
650-202,1474-94be995d,Stop B Glen Innes Station,2,0.3869736202319844,1.5833333333333333
650-202,7455-846da8ad,Countdown St Johns,3,0.22729498916326996,0.6833333333333333
650-202,7453-7618bcf3,Howard Hunter Avenue/Colin Maiden Park,4,0.3049284703603615,0.7833333333333333
650-202,7451-42d5a401,Strong Street,5,0.22630223896603816,0.6666666666666666
650-202,7449-9327eaba,Cotton Street,6,0.24198297846986472,0.6333333333333333
650-202,7447-bcbb35a9,Simkin Avenue,7,0.2696382196497821,0.8333333333333334
650-202,7445-82876619,St Johns College,8,0.20567337429365273,0.55
650-202,7443-b159adae,Summerset St Johns,9,0.2933089120184388,0.65
650-202,7441-47a4ff5c,Truman Street,10,0.14422639641096172,0.5
650-202,7439-1927670f,Dorchester Street,11,0.20918274071853665,0.5666666666666667
650-202,7437-7b2d1d4d,Purewa Cemetery,12,0.15731378404196983,0.4166666666666667
650-202,7435-457b789e,Blackett Crescent,13,0.3129472523194853,0.85
650-202,7433-fe742429,Meadowbank Shopping Centre,14,0.23519455860922636,0.6333333333333333
650-202,7431-a753663c,Remuera Road/Meadowbank Road,15,0.310423255878243,0.8166666666666667
650-202,7429-b080bd36,Waiatarua Road,16,0.5153104092421394,1.4
650-202,7427-062a4502,Kelvin Road,17,0.2927036979251398,0.7833333333333333
650-202,7425-308cefa0,Haast Street,18,0.2770405091611612,0.7833333333333333
650-202,7423-31ae377d,Remuera Road/Remuera Village Shops,19,0.24941569953588788,0.6666666666666666
650-202,7421-0c4f2fc5,Ladies Mile,20,0.23741711519797773,0.6666666666666666
650-202,8073-08f7c8de,Grand View Road,21,0.2863154963567555,0.7333333333333333
650-202,8071-bc870d36,Green Lane East/Peach Parade,22,0.4098800542644388,1.15
650-202,1718-a2a54a95,Mercy Ascot Hospital,23,0.7134051677108642,2.2
