trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,route_id,shape_id,direction_id,stop_name,stop_lat,stop_lon,distance_to_next_stop,travel_time_to_next_stop
1254-10102-55200-2-862bfda5,1900-01-01 15:20:00,1900-01-01 15:20:00,1031-6ceef13a,1,PT CHEV BCH,0,0,0.0,0,101-202,1254-10102-b8afdb1f,1,University of Auckland,-36.85241,174.7705,0.5301615133855773,2.4166666666666665
1254-10102-55200-2-862bfda5,1900-01-01 15:22:25,1900-01-01 15:22:25,7089-8ec85023,2,PT CHEV BCH,0,0,0.533,0,101-202,1254-10102-b8afdb1f,1,AUT City Campus,-36.8528,174.76716,0.5835066563202497,2.6333333333333333
1254-10102-55200-2-862bfda5,1900-01-01 15:25:03,1900-01-01 15:25:03,1332-06829269,3,PT CHEV BCH,0,0,1.118,0,101-202,1254-10102-b8afdb1f,1,SkyCity Auckland,-36.85025,174.76189,0.30122582021479277,1.3666666666666667
1254-10102-55200-2-862bfda5,1900-01-01 15:26:25,1900-01-01 15:26:25,1090-90cb0d20,4,PT CHEV BCH,0,0,1.419,0,101-202,1254-10102-b8afdb1f,1,Nelson Street,-36.84935,174.75892,0.4230830674552761,1.9
1254-10102-55200-2-862bfda5,1900-01-01 15:28:19,1900-01-01 15:28:19,7106-026b649d,5,PT CHEV BCH,0,0,1.842,0,101-202,1254-10102-b8afdb1f,1,Victoria Park Market,-36.8482,174.7548,0.22741870345010118,1.0333333333333334
1254-10102-55200-2-862bfda5,1900-01-01 15:29:21,1900-01-01 15:29:21,7108-87efa451,6,PT CHEV BCH,0,0,2.07,0,101-202,1254-10102-b8afdb1f,1,Franklin Road,-36.84815,174.7524,0.3609597939475398,1.6333333333333333
1254-10102-55200-2-862bfda5,1900-01-01 15:30:59,1900-01-01 15:30:59,7110-7e35124f,7,PT CHEV BCH,0,0,2.432,0,101-202,1254-10102-b8afdb1f,1,England Street,-36.84852,174.74854,0.19427200606706208,0.8833333333333333
1254-10102-55200-2-862bfda5,1900-01-01 15:31:52,1900-01-01 15:31:52,7112-da37447d,8,PT CHEV BCH,0,0,2.625,0,101-202,1254-10102-b8afdb1f,1,Mercy Hospice,-36.84797,174.74667,0.29537599763920375,1.3333333333333333
1254-10102-55200-2-862bfda5,1900-01-01 15:33:12,1900-01-01 15:33:12,7114-405833f5,9,PT CHEV BCH,0,0,2.92,0,101-202,1254-10102-b8afdb1f,1,Three Lamps,-36.84716,174.74378,0.34993810166108996,1.6
1254-10102-55200-2-862bfda5,1900-01-01 15:34:48,1900-01-01 15:34:48,7116-1e599c9f,10,PT CHEV BCH,0,0,3.271,0,101-202,1254-10102-b8afdb1f,1,St Stephen's Church,-36.84535,174.74079,0.34340740926479846,1.5666666666666667
1254-10102-55200-2-862bfda5,1900-01-01 15:36:22,1900-01-01 15:36:22,7118-5ebfd457,11,PT CHEV BCH,0,0,3.615,0,101-202,1254-10102-b8afdb1f,1,John Street,-36.84532,174.7373,0.18363248085868203,0.8166666666666667
1254-10102-55200-2-862bfda5,1900-01-01 15:37:11,1900-01-01 15:37:11,7120-a5983b16,12,PT CHEV BCH,0,0,3.798,0,101-202,1254-10102-b8afdb1f,1,Lawrence Street,-36.84549,174.73545,0.4030040001069748,1.8333333333333333
1254-10102-55200-2-862bfda5,1900-01-01 15:39:01,1900-01-01 15:39:01,7122-267425f2,13,PT CHEV BCH,0,0,4.2,0,101-202,1254-10102-b8afdb1f,1,Bayfield School,-36.8474,174.73214,0.35389687883348536,1.6166666666666667
1254-10102-55200-2-862bfda5,1900-01-01 15:40:38,1900-01-01 15:40:38,7124-8993255e,14,PT CHEV BCH,0,0,4.555,0,101-202,1254-10102-b8afdb1f,1,Masons Avenue,-36.84822,174.72882,0.3432166424500311,1.55
1254-10102-55200-2-862bfda5,1900-01-01 15:42:11,1900-01-01 15:42:11,8498-746ff209,15,PT CHEV BCH,0,0,4.895,0,101-202,1254-10102-b8afdb1f,1,Jervois Road,-36.84957,174.72882,0.6114496521459866,2.816666666666667
1254-10102-55200-2-862bfda5,1900-01-01 15:45:00,1900-01-01 15:45:00,8496-67820052,16,PT CHEV BCH,0,0,5.506,0,101-202,1254-10102-b8afdb1f,1,Cox's Bay Reserve,-36.85176,174.72277,0.31214332052883387,0.7166666666666667
1254-10102-55200-2-862bfda5,1900-01-01 15:45:43,1900-01-01 15:45:43,8494-7cdbf182,17,PT CHEV BCH,0,0,5.819,0,101-202,1254-10102-b8afdb1f,1,Kotare Avenue,-36.85255,174.71963,0.29619832521044254,0.7
1254-10102-55200-2-862bfda5,1900-01-01 15:46:25,1900-01-01 15:46:25,8492-cc3f118d,18,PT CHEV BCH,0,0,6.115,0,101-202,1254-10102-b8afdb1f,1,Westmere Shops,-36.85434,174.71867,0.9185485725268544,2.1666666666666665
1254-10102-55200-2-862bfda5,1900-01-01 15:48:35,1900-01-01 15:48:35,1054-6399d29c,19,PT CHEV BCH,0,0,7.03,0,101-202,1254-10102-b8afdb1f,1,Meola Road/MOTAT,-36.85965,174.71392,0.5763209021542679,1.3666666666666667
1254-10102-55200-2-862bfda5,1900-01-01 15:49:57,1900-01-01 15:49:57,1056-1d112278,20,PT CHEV BCH,0,0,7.606,0,101-202,1254-10102-b8afdb1f,1,Moa Road,-36.86229,174.70845,0.501992603881238,1.1833333333333333
1254-10102-55200-2-862bfda5,1900-01-01 15:51:08,1900-01-01 15:51:08,8011-8aee8cfc,21,PT CHEV BCH,0,0,8.107,0,101-202,1254-10102-b8afdb1f,1,Target Street,-36.86255,174.70426,0.23755376920966526,0.5666666666666667
