route_id,stop_id,stop_name,stop_sequence,stop_lat,stop_lon,travel_time_to_next_stop,distance_to_next_stop
101-202,8000-7386a836,Coyle Park,1,-36.85267,174.70428,0.45,0.2329232646511432
101-202,8002-ce800e63,Johnstone Street,2,-36.85467,174.70415,0.5166666666666667,0.26241715660238624
101-202,8004-66851f82,Oliver Street,3,-36.85682,174.70343,0.6,0.30284220861153593
101-202,8006-154bc233,Dignan Steeet,4,-36.85936,174.7025,0.45,0.23466649062456324
101-202,8008-6aee982b,Point Chevalier School,5,-36.8611,174.70331,0.38333333333333336,0.1961892037331304
101-202,8010-6b74c8ff,Target Street,6,-36.86252,174.70439,1.0166666666666666,0.5217634379635622
101-202,1049-ef8b69e4,Moa Road,7,-36.86212,174.70865,1.3,0.6606920077868481
101-202,1051-3ab326d8,Meola Road/MOTAT,8,-36.85908,174.71486,1.5166666666666666,0.7718424242302194
101-202,8491-4c2b3c12,Westmere Shops,9,-36.85452,174.71868,0.6666666666666666,0.33979447441575544
101-202,8493-d8c9215b,Kotare Avenue,10,-36.85232,174.71981,0.48333333333333334,0.34915462582004425
101-202,8495-d8b98d40,Cox's Bay Reserve,11,-36.85154,174.72348,1.1833333333333333,0.5098055369900474
101-202,8497-30667212,Jervois Road,12,-36.84968,174.7284,1.0166666666666666,0.523320453397084
101-202,7124-8993255e,Masons Avenue,13,-36.84822,174.72882,0.6666666666666666,0.34210754272451377
101-202,7121-c9212dc1,Bayfield School,14,-36.84737,174.73192,0.7166666666666667,0.36025365018836963
101-202,7119-5fc299b0,Lawrence Street,15,-36.84541,174.73484,0.5333333333333333,0.27397316869841465
101-202,7117-e91d6511,John Street,16,-36.84514,174.73773,0.5666666666666667,0.2869141795361211
101-202,7115-63c0ed0a,St Stephen's Church,17,-36.84516,174.74076,0.6833333333333333,0.35406725259195737
101-202,7113-084b368e,Three Lamps,18,-36.84699,174.7438,0.75,0.38413016453966825
101-202,7111-398e6ec5,Mercy Hospice,19,-36.84812,174.74748,0.5,0.255260599735465
101-202,7109-13c2b0c9,Gudgeon Street,20,-36.84823,174.75,2.6333333333333333,0.3795021456206459
101-202,7107-14d27628,Victoria Park Market,21,-36.84803,174.75405,2.45,0.35099196949629896
101-202,1079-d80fd2d6,Sale Street,22,-36.84877,174.75733,1.9666666666666666,0.28332958167328526
101-202,1089-d1686dd6,International Convention Centre,23,-36.84964,174.76023,3.1,0.4462054655410451
101-202,1094-2f276785,Lorne Street,24,-36.85092,174.76487,1.85,0.26515305453979815
101-202,7088-d255c2d6,Auckland Art Gallery,25,-36.85236,174.767,2.35,0.33923234923271955
101-202,7023-2daf6ff1,University General Library,26,-36.85163,174.76958,1.65,0.23722312817717064
101-202,1096-83f5e701,University of Auckland,27,-36.85324,174.77074,,
105-202,8496-67820052,Cox's Bay Reserve,1,-36.85176,174.72277,0.55,0.31214332052883387
105-202,8494-7cdbf182,Kotare Avenue,2,-36.85255,174.71963,0.55,0.29619832521044254
105-202,8492-cc3f118d,Westmere Shops,3,-36.85434,174.71867,0.7333333333333333,0.40209592757232554
105-202,8490-97f86170,Dorset Street,4,-36.85687,174.72156,0.6166666666666667,0.3309071963540719
105-202,8488-4a1e723e,Westmere School,5,-36.85918,174.72365,0.43333333333333335,0.2395456523156739
105-202,8486-e6856550,Garnet Road/Old Mill Road,6,-36.86104,174.72469,0.45,0.2443272457993976
105-202,8045-eaf533ba,Francis Street,7,-36.86232,174.72652,0.7,0.3842855381275541
105-202,8482-b766e95f,Surrey Crescent/Old Mill Road,8,-36.86326,174.7303,0.48333333333333334,0.25882341238792045
105-202,8899-dca239d7,Richmond Road,9,-36.86211,174.73267,0.9166666666666666,0.4992559243268621
105-202,8087-d890a72a,West Lynn Shops,10,-36.85884,174.73083,0.7166666666666667,0.38731406443799027
105-202,8085-b8efc4cd,Peel Street,11,-36.85565,174.72991,0.4,0.22457474323320886
105-202,8083-ac0dc653,Woolworths Grey Lynn,12,-36.85455,174.73177,0.85,0.46490284415165606
105-202,8081-56810081,St Paul's College,13,-36.85432,174.73641,0.5333333333333333,0.28829235211114096
105-202,8079-dcc5dce7,Richmond Road Shops,14,-36.85516,174.73909,0.48333333333333334,0.26241689108126504
105-202,8077-6d09636a,Richmond Road School,15,-36.85693,174.74052,0.6166666666666667,0.338281123008871
105-202,8075-ec7774a9,Fitzroy Street,16,-36.85694,174.74404,0.5833333333333334,0.3167296676260838
105-202,7215-cb3a712c,Ponsonby Road/Picton Street,17,-36.85659,174.74717,0.38333333333333336,0.20893539593581437
105-202,7213-c1b68c83,Ponsonby Road/Western Park,18,-36.85757,174.74896,1.5,0.35462026038886085
105-202,7211-824d717b,Ponsonby Road/Karangahape Road,19,-36.85929,174.75212,1.9666666666666666,0.46776117817759344
105-202,7135-b1ba3584,Rainbow Bridge/Karangahape Road,20,-36.85805,174.75639,1.7833333333333334,0.4214998217809557
105-202,7131-cf2b5a78,Karangahape Road/Queen Street,21,-36.85787,174.76084,1.2166666666666666,0.28265586922340363
105-202,7061-10099e39,Queen Street/Myers Park,22,-36.85603,174.76216,1.35,0.3197385920622848
105-202,7059-607e2a63,Auckland Town Hall,23,-36.85342,174.76334,1.8,0.4256528022042413
105-202,7053-154c6c71,Wellesley Street,24,-36.8499,174.7649,2.3833333333333333,0.5592404126734123
105-202,1325-8876cfe3,Britomart Te Komititanga,25,-36.84513,174.76636,,
106-202,1005-c105552e,Stop D Lower Albert,1,-36.84353,174.76571,2.6166666666666667,0.8452941529522888
106-202,7102-64738f72,Hobson Street,2,-36.84784,174.76089,0.6333333333333333,0.20635329447397682
106-202,7104-7f5cd349,Graham Street,3,-36.84791,174.75888,1.1666666666666667,0.3805175641732836
106-202,7106-026b649d,Victoria Park Market,4,-36.8482,174.7548,0.75,0.24466069496671544
106-202,1349-1930ba18,New World Victoria Park,5,-36.84867,174.75267,1.6333333333333333,0.5244719790015985
106-202,7270-2dc02230,Franklin Road,6,-36.85166,174.74958,0.8666666666666667,0.2788496832173275
106-202,7267-ac893729,Freemans Bay School,7,-36.85236,174.75246,0.9333333333333333,0.30296537841730914
106-202,7237-3e2dea08,Howe Street/Western Park,8,-36.85406,174.75424,0.7666666666666667,0.24884428416561113
106-202,7235-ad54bf45,Auckland Girls' Grammar,9,-36.85618,174.75461,0.5833333333333334,0.19171756121616068
106-202,7233-ada0733c,Hopetoun Street,10,-36.85778,174.75486,0.75,0.2415010775590493
106-202,7135-b1ba3584,Rainbow Bridge/Karangahape Road,11,-36.85805,174.75639,1.3,0.4214998217809557
106-202,7131-cf2b5a78,Karangahape Road/Queen Street,12,-36.85787,174.76084,1.4333333333333333,0.28265586922340363
106-202,7061-10099e39,Queen Street/Myers Park,13,-36.85603,174.76216,1.6,0.3197385920622848
106-202,7059-607e2a63,Auckland Town Hall,14,-36.85342,174.76334,2.15,0.4256528022042413
106-202,7053-154c6c71,Wellesley Street,15,-36.8499,174.7649,2.816666666666667,0.5592404126734123
106-202,1325-8876cfe3,Britomart Te Komititanga,16,-36.84513,174.76636,,
111-206,5959-cc4bb279,Kedgley Road/Maki Street,1,-36.81504,174.60964,1.0666666666666667,0.5510940214022525
111-206,5990-ad2ea439,Tawhia Drive/Kohuhu Lane,2,-36.81876,174.60832,0.9833333333333333,0.4949039843620058
111-206,1592-5cb98cf9,Stop C Westgate,3,-36.82239,174.611,0.55,0.28024745569587267
111-206,1590-890fe95b,Maki Street South,4,-36.82214,174.61345,0.6833333333333333,0.3492839770241232
111-206,1588-98d54bcf,Tihema Lane,5,-36.82454,174.61543,0.6333333333333333,0.3595508598188437
111-206,1586-da659255,Alloway Street,6,-36.82756,174.61553,0.7666666666666667,0.3531769551383735
111-206,1526-c319f285,Mcwhirters Farm Lane,7,-36.83061,174.61592,0.5333333333333333,0.27341747732759775
111-206,5580-f87eba88,Royal Road School,8,-36.83183,174.61714,1.05,0.5388504734320334
111-206,5582-1806b429,Royal Heights Shopping Centre,9,-36.83332,174.62236,0.6,0.30936543636555064
111-206,5584-65bd1867,Royal Road/Colwill Road,10,-36.8343,174.62489,0.65,0.3327399673698303
111-206,5586-0757a3a1,Redwood Drive,11,-36.83699,174.62626,0.4166666666666667,0.2109002364986826
111-206,5588-0294b3e5,66 Colwill Road,12,-36.83782,174.62805,0.55,0.2792964862161829
111-206,5590-973e9c93,96 Colwill Road,13,-36.83666,174.63057,0.5,0.25675271705917824
