service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Daily-1,1,1,1,1,1,1,1,20240605,20240910
Daily-2,1,1,1,1,1,1,1,20240605,20240615
Daily-3,1,1,1,1,1,1,1,20240616,20240910
Daily-4,1,1,1,1,1,1,1,20240616,20240910
ExSat-1,1,1,1,1,1,0,1,20240605,20240910
ExSat-2,1,1,1,1,1,0,1,20240616,20240910
ExSun-1,1,1,1,1,1,1,0,20240605,20240910
ExSun-2,1,1,1,1,1,1,0,20240605,20240910
ExSun-3,1,1,1,1,1,1,0,20240616,20240910
ExTue-1,1,0,1,1,1,1,1,20240605,20240910
FriSat-1,0,0,0,0,1,1,0,20240605,20240910
FriSat-2,0,0,0,0,1,1,0,20240605,20240910
FriSat-3,0,0,0,0,1,1,0,20240605,20240910
FriSat-4,0,0,0,0,1,1,0,20240616,20240910
FriSatSun-1,0,0,0,0,1,1,1,20240605,20240910
Friday-1,0,0,0,0,1,0,0,20240605,20240910
Friday-2,0,0,0,0,1,0,0,20240605,20240615
Friday-3,0,0,0,0,1,0,0,20240605,20240910
Friday-4,0,0,0,0,1,0,0,20240605,20240910
Friday-5,0,0,0,0,1,0,0,20240605,20240910
Other-1,0,0,0,0,0,0,0,20240605,20240910
Other-10,0,0,0,0,0,0,0,20240605,20240910
Other-11,0,0,0,0,0,0,0,20240605,20240910
Other-12,0,0,0,0,0,0,0,20240605,20240910
Other-13,0,0,0,0,0,0,0,20240605,20240910
Other-14,0,0,0,0,0,0,0,20240605,20240910
Other-15,0,0,0,0,0,0,0,20240605,20240910
Other-16,0,0,0,0,0,0,0,20240605,20240910
Other-17,0,0,0,0,0,0,0,20240605,20240910
Other-18,0,0,0,0,0,0,0,20240605,20240615
Other-19,0,0,0,0,0,0,0,20240605,20240910
Other-2,0,0,0,0,0,0,0,20240605,20240910
Other-20,0,0,0,0,0,0,0,20240605,20240910
Other-21,0,0,0,0,0,0,0,20240605,20240910
Other-22,0,0,0,0,0,0,0,20240605,20240910
Other-23,0,0,0,0,0,0,0,20240605,20240910
Other-24,0,0,0,0,0,0,0,20240605,20240910
Other-25,0,0,0,0,0,0,0,20240605,20240910
Other-26,0,0,0,0,0,0,0,20240605,20240910
Other-27,0,0,0,0,0,0,0,20240605,20240910
Other-28,0,0,0,0,0,0,0,20240605,20240910
Other-29,0,0,0,0,0,0,0,20240605,20240910
Other-3,0,0,0,0,0,0,0,20240605,20240910
Other-30,0,0,0,0,0,0,0,20240605,20240910
Other-31,0,0,0,0,0,0,0,20240605,20240910
Other-32,0,0,0,0,0,0,0,20240616,20240910
Other-33,0,0,0,0,0,0,0,20240616,20240910
Other-34,0,0,0,0,0,0,0,20240616,20240910
Other-35,0,0,0,0,0,0,0,20240616,20240910
Other-36,0,0,0,0,0,0,0,20240616,20240910
Other-37,0,0,0,0,0,0,0,20240616,20240910
Other-38,0,0,0,0,0,0,0,20240616,20240910
Other-4,0,0,0,0,0,0,0,20240605,20240910
Other-5,0,0,0,0,0,0,0,20240605,20240910
Other-6,0,0,0,0,0,0,0,20240605,20240910
Other-7,0,0,0,0,0,0,0,20240605,20240910
Other-8,0,0,0,0,0,0,0,20240605,20240910
Other-9,0,0,0,0,0,0,0,20240605,20240910
Saturday-1,0,0,0,0,0,1,0,20240605,20240910
Saturday-2,0,0,0,0,0,1,0,20240605,20240615
Saturday-3,0,0,0,0,0,1,0,20240605,20240910
Saturday-4,0,0,0,0,0,1,0,20240605,20240910
Saturday-5,0,0,0,0,0,1,0,20240616,20240910
Saturday-6,0,0,0,0,0,1,0,20240616,20240910
Sunday-1,0,0,0,0,0,0,1,20240605,20240910
Sunday-2,0,0,0,0,0,0,1,20240605,20240615
Sunday-3,0,0,0,0,0,0,1,20240605,20240910
Sunday-4,0,0,0,0,0,0,1,20240605,20240910
Sunday-5,0,0,0,0,0,0,1,20240605,20240910
Sunday-6,0,0,0,0,0,0,1,20240605,20240910
Sunday-7,0,0,0,0,0,0,1,20240616,20240910
Sunday-8,0,0,0,0,0,0,1,20240616,20240910
Thursday-1,0,0,0,1,0,0,0,20240605,20240910
Tuesday-1,0,1,0,0,0,0,0,20240605,20240910
Wednesday-1,0,0,1,0,0,0,0,20240605,20240910
Wednesday-2,0,0,1,0,0,0,0,20240605,20240910
Weekday-1,1,1,1,1,1,0,0,20240605,20240910
Weekday-2,1,1,1,1,1,0,0,20240605,20240615
Weekday-3,1,1,1,1,1,0,0,20240605,20240910
Weekday-4,1,1,1,1,1,0,0,20240605,20240910
Weekday-5,1,1,1,1,1,0,0,20240605,20240910
Weekday-6,1,1,1,1,1,0,0,20240616,20240910
Weekday-7,1,1,1,1,1,0,0,20240616,20240910
Weekday-8,1,1,1,1,1,0,0,20240616,20240910
Weekend-1,0,0,0,0,0,1,1,20240605,20240910
Weekend-2,0,0,0,0,0,1,1,20240605,20240615
Weekend-3,0,0,0,0,0,1,1,20240605,20240910
Weekend-4,0,0,0,0,0,1,1,20240605,20240910
Weekend-5,0,0,0,0,0,1,1,20240605,20240910
Weekend-6,0,0,0,0,0,1,1,20240616,20240910
Weekend-7,0,0,0,0,0,1,1,20240616,20240910
WkExFri-1,1,1,1,1,0,0,0,20240605,20240910
WkExFri-2,1,1,1,1,0,0,0,20240605,20240910
WkExFri-3,1,1,1,1,0,0,0,20240605,20240910
