route_id,stop_id,stop_name,stop_sequence
35-205,1812-fc74d6f8,Bay 12 Manukau Bus Station,1
35-205,6368-126c135c,Birchlea Rise,2
35-205,6306-5444647c,Hollyford Drive,3
35-205,6308-787111d1,Boundary Road,4
35-205,6313-c7a93ff1,Alta Terrace,5
35-205,2142-76fdcecd,Chapel Downs Primary School,6
35-205,6967-00730f06,Summerset Retirement Village,7
35-205,2136-dcb09665,Michael Jones Drive,8
35-205,2236-052f4969,Chapel Road/Barry Curtis Park,9
35-205,2134-e0561d55,Chapel Road/Ormiston Road,10
35-205,2446-5607a6ec,Ormiston Road/Ormiston Hospital,11
35-205,2334-9660f119,Stop A Ormiston Town Centre,12
35-205,1962-ebe3afb5,Ormiston Senior College,13
35-205,2454-e171ed2c,Geranium Avenue,14
35-205,2080-eeeeb66a,Salford Crescent,15
35-205,2078-e7c44308,Concepts Way,16
35-205,6983-dad68cb6,Topland Drive,17
35-205,6985-0a2b05a8,Kensway Drive,18
35-205,6962-ea740bad,Stancombe Road/Barry Curtis Park,19
35-205,6192-832789b9,Cyril French Park,20
35-205,6194-4a979f5f,Gracechurch Drive,21
35-205,6196-5e67568e,Ballybay Road,22
35-205,6198-424b8d2a,Smales Road,23
35-205,6220-3ae9ade7,Carlingford Drive,24
35-205,6779-150cf64f,Botany Secondary College,25
35-205,6231-190b2aaa,Stop A Botany Town Centre,26
33-203,1777-3e02a2cf,Stop B Otahuhu Station,1
33-203,7952-fe4f53b2,Otahuhu Library,2
33-203,1356-0146ace9,Stop B Otahuhu Town Centre,3
33-203,7642-ea38834a,Fort Richard Road,4
33-203,6568-6336d243,Nelson Street,5
33-203,6004-025a4d0b,Laureston Avenue,6
33-203,6006-5118afff,Papatoetoe Intermediate,7
33-203,6956-f4f9f6c0,Kautami Avenue,8
33-203,6010-573898ce,Maxwell Avenue,9
33-203,2282-98a569ca,Saint Johns Church,10
33-203,6014-ad211380,Hunters Plaza,11
33-203,6016-f5105b5d,Papatoetoe Central School,12
33-203,6018-6ec17b29,Birdwood Avenue,13
33-203,6020-e7ccacf4,Waenganui Allenby Park,14
33-203,6022-e74fbfc4,Caspar Road Shops,15
33-203,6748-a5da120c,AUT Manukau,16
33-203,2188-83862626,Osterley Way,17
33-203,2127-d4ee58fe,Stop B Manukau Station,18
33-203,2144-f41225ff,Events Centre,19
33-203,6030-4ac478ba,Kerrs Road,20
33-203,6888-50de093b,Manukau SuperClinic,21
33-203,6032-f087a2c8,Orams Road/Manukau Superclinic,22
33-203,6034-32537549,Great South Road/Grande Vue Road,23
33-203,6036-5e3a267c,Halsey Road,24
33-203,6038-926fe1f9,Kelvyn Grove,25
33-203,2290-f342b6c3,Maich Road,26
33-203,2473-358e0fc9,Station Road,27
33-203,6044-9da250d0,Stop B Manurewa Station,28
33-203,6042-574a8217,Mcannalley Street,29
33-203,2416-8b918234,Kevale Place,30
33-203,2420-d618da7d,Great South Road/Te Mahia Station,31
33-203,6046-23479c49,Great South Road/Mahia Road,32
33-203,2536-ad1d8fa6,Spartan Road,33
33-203,2534-5e0aaed5,Great South Road/Manuroa Road,34
33-203,2532-172b93df,Walter Strevens Drive,35
33-203,2736-75d8c53c,Beach Road,36
33-203,2530-b352218f,Countdown Takanini,37
33-203,2528-ed32a7f6,Walters Road,38
33-203,2526-cdd27e0c,Wellington Park,39
33-203,2524-54f3f4c9,Youngs Road,40
33-203,2522-d7d47f16,Papakura Anglican Church,41
33-203,2520-72ead39b,Papakura Shops,42
33-203,2716-29bbacfe,Papakura Station,43
392-203,2850-3422d278,Pukekohe Station,1
392-203,2928-c49936fe,Pukekohe Library,2
392-203,2888-e045a4e2,Countdown Pukekohe,3
392-203,2832-70c5fb58,Reformed Church of Pukekohe,4
392-203,2844-c5c06611,St Joseph's Catholic School,5
392-203,2836-995003f2,Seddon Street/Paerata Road,6
392-203,2834-8e65768f,New World Pukekohe,7
392-203,2884-e351391d,Prado Drive,8
392-203,2904-1af5358f,Holland Street,9
392-203,2901-ca8036e1,Frank Hewitt Street,10
392-203,2895-613fc12b,Princes Street,11
392-203,2871-bdcfea37,Tamaoho School,12
392-203,2877-7f23a927,Victoria St W/Jutland Road,13
392-203,2891-70c5fa94,Victoria Street,14
392-203,2907-d4e7c758,Wellington Street,15
392-203,2909-007e61b2,Pukekohe Intermediate School,16
392-203,2929-7be58f7d,Pukekohe Library,17
392-203,2850-3422d278,Pukekohe Station,18
BIRK-240,9660-33a61833,Birkenhead Ferry Terminal,1
BIRK-240,9701-8d24d4bc,Downtown Ferry Terminal Pier 1,2
66-206,8000-7386a836,Coyle Park,1
66-206,8002-ce800e63,Johnstone Street,2
66-206,8004-66851f82,Oliver Street,3
66-206,8006-154bc233,Dignan Steeet,4
66-206,8008-6aee982b,Point Chevalier School,5
66-206,8010-6b74c8ff,Target Street,6
66-206,8012-2fb1ac5e,Pt Chevalier Road/Walker Road,7
66-206,8014-87a63ba3,Wakatipu Street,8
66-206,8016-b34483b0,Alberta Street,9
66-206,8018-e3724964,Pt Chevalier Road/Pt Chevalier Shops,10
66-206,8028-b18f6268,Mount Albert Unitec Entry 1,11
66-206,8030-d205ef00,Mount Albert Unitec Entry 2,12
66-206,8882-fb20a6d3,Mount Albert Unitec Entry 3,13
66-206,8032-0c1a3812,Gladstone Primary,14
66-206,8034-39f76bd5,Benfield Avenue,15
66-206,8812-8a1d3ceb,Mount Albert Presbyterian Church,16
66-206,8814-f35a0854,Kitenui Avenue,17
66-206,8816-69ab520d,Owairaka/Mount Albert,18
66-206,8818-3eb17ea9,Alberton,19
66-206,8820-b6354f31,Mount Albert Road/Owairaka Avenue Shops,20
66-206,8822-b79a9810,Beagle Avenue,21
66-206,8824-7fe17f63,Duncan Avenue,22
66-206,8826-51f1d4f3,Mount Albert Road/Sandringham Road,23
66-206,8828-0f7d8c38,Wesley Methodist Church,24
66-206,8830-8aa1ba13,Mount Albert Road/Mons Avenue,25
66-206,1868-d46448bb,May Road,26
66-206,8832-52e32612,Mount Albert Road/Dominion Road,27
66-206,8834-71f1f783,Dominion Road School,28
66-206,8836-fafcf68f,Scout Avenue,29
66-206,8838-0d396a71,Frost Road,30
66-206,8840-d694b2e9,Three Kings Plaza,31
66-206,8842-d9aa7604,Mount Eden Road,32
66-206,8844-cab2ae83,Buckley Road/Mount Albert Road,33
66-206,8846-dee52bde,Marcellin College,34
66-206,8848-09becb01,Pah Road,35
66-206,8850-582e9994,Crown Street,36
66-206,8852-6ff99666,Stop C Royal Oak,37
66-206,1836-1fbc7198,Mount Albert Road,38
66-206,1834-d4ab9f0c,Onehunga Mall,39
66-206,1832-b498fc69,Mount Smart Road/Moana Avenue,40
66-206,8382-ce17835f,Curzon Street,41
66-206,8384-86599fdb,Te Papapa School,42
66-206,8268-53e221b8,Mt Smart Road/Rockfield Road,43
66-206,8179-17e3d76f,Maurice Road,44
66-206,8177-8c8a0649,Olive Road,45
66-206,7997-35d9ad1e,Penrose Station/Station Road,46
66-206,1855-13190b1f,29 Station Road,47
66-206,7624-2916a36b,Penrose Station/Great South Road,48
66-206,1856-c3d00f12,Prescott Street,49
66-206,1022-f667c7a2,Rydal Drive,50
66-206,7688-8a3483d3,Spooner Lane,51
66-206,7698-f2039157,Jarman Road,52
66-206,7811-a46a29b9,Longford Street,53
66-206,7238-8cbd6ca4,Stop A Sylvia Park,54
650-202,7821-f47ec9af,Stop C Glen Innes Station,1
650-202,1474-94be995d,Stop B Glen Innes Station,2
650-202,7455-846da8ad,Countdown St Johns,3
650-202,7453-7618bcf3,Howard Hunter Avenue/Colin Maiden Park,4
650-202,7451-42d5a401,Strong Street,5
650-202,7449-9327eaba,Cotton Street,6
650-202,7447-bcbb35a9,Simkin Avenue,7
650-202,7445-82876619,St Johns College,8
650-202,7443-b159adae,Summerset St Johns,9
650-202,7441-47a4ff5c,Truman Street,10
650-202,7439-1927670f,Dorchester Street,11
650-202,7437-7b2d1d4d,Purewa Cemetery,12
650-202,7435-457b789e,Blackett Crescent,13
650-202,7433-fe742429,Meadowbank Shopping Centre,14
650-202,7431-a753663c,Remuera Road/Meadowbank Road,15
650-202,7429-b080bd36,Waiatarua Road,16
650-202,7427-062a4502,Kelvin Road,17
650-202,7425-308cefa0,Haast Street,18
650-202,7423-31ae377d,Remuera Road/Remuera Village Shops,19
650-202,7421-0c4f2fc5,Ladies Mile,20
650-202,8073-08f7c8de,Grand View Road,21
650-202,8071-bc870d36,Green Lane East/Peach Parade,22
650-202,1718-a2a54a95,Mercy Ascot Hospital,23
650-202,8069-bd0dc0bc,Green Lane West/Great South Road,24
650-202,8067-636ab473,Outside Greenlane Clinical Centre,25
650-202,8065-8436b7f8,Manukau Road,26
650-202,8063-bf83ffb5,The Drive,27
650-202,8061-d8a0db0f,Balmoral Road/St Andrews Road,28
650-202,8059-286a082c,Kakariki Avenue,29
650-202,1076-28bf2023,Balmoral Heights Reserve,30
650-202,8055-878b24f2,Henley Road,31
650-202,8053-24968585,Matipo Street,32
650-202,8051-0a88b3c6,Balmoral Road/Dominion Road,33
650-202,8049-df650ebd,Bharatiya Mandir Temple,34
650-202,8047-fa0793b4,Balmoral Road/Sandringham Road,35
650-202,7999-a9fafecf,St Lukes Road/Sandringham Road,36
650-202,1077-b34e9b07,St Lukes Mega Centre,37
650-202,1881-82b64ad7,Lyon Avenue,38
650-202,8868-b5c5fd77,New North Road,39
650-202,1845-3970bb1d,St Lukes Road/Asquith Avenue,40
650-202,8122-89235838,Western Springs Park & MOTAT,41
650-202,8124-c7d84961,Auckland Zoo,42
650-202,8126-d353d90c,Pasadena Shops,43
